GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-service,com.selimhorri.app.config.client,ClientConfig,7,0,0,0,2,0,2,0,2,0
order-service,com.selimhorri.app.dto,OrderDto.OrderDtoBuilder,14,42,0,0,0,1,1,7,1,7
order-service,com.selimhorri.app.dto,CartDto,131,85,34,4,1,7,27,7,8,7
order-service,com.selimhorri.app.dto,UserDto,344,0,62,0,11,0,52,0,21,0
order-service,com.selimhorri.app.dto,OrderDto,156,103,41,5,1,8,32,8,9,8
order-service,com.selimhorri.app.dto,CartDto.CartDtoBuilder,22,25,0,0,0,1,3,4,3,4
order-service,com.selimhorri.app.dto,UserDto.UserDtoBuilder,73,0,0,0,1,0,10,0,10,0
order-service,com.selimhorri.app.config.mapper,MapperConfig,9,0,0,0,3,0,2,0,2,0
order-service,com.selimhorri.app,OrderServiceApplication,8,0,0,0,3,0,2,0,2,0
order-service,com.selimhorri.app,OrderController,5,0,0,0,2,0,2,0,2,0
order-service,com.selimhorri.app.exception.wrapper,CartNotFoundException,16,0,0,0,8,0,4,0,4,0
order-service,com.selimhorri.app.exception.wrapper,OrderNotFoundException,12,4,0,0,6,2,3,1,3,1
order-service,com.selimhorri.app.constant,AppConstant.DiscoveredDomainsApi,6,0,0,0,1,0,1,0,1,0
order-service,com.selimhorri.app.domain,Cart.CartBuilder,14,23,0,0,0,1,2,4,2,4
order-service,com.selimhorri.app.domain,Order.OrderBuilder,14,42,0,0,0,1,1,7,1,7
order-service,com.selimhorri.app.domain,AbstractMappedEntity,123,3,22,0,4,1,20,1,9,1
order-service,com.selimhorri.app.domain,Cart,129,19,24,0,5,3,22,3,10,3
order-service,com.selimhorri.app.domain,Order,198,37,40,0,3,7,30,7,10,7
order-service,com.selimhorri.app.service.impl,CartServiceImpl,132,0,0,0,33,0,11,0,11,0
order-service,com.selimhorri.app.service.impl,OrderServiceImpl,13,83,0,0,3,22,1,8,1,8
order-service,com.selimhorri.app.exception,ApiExceptionHandler,51,0,0,0,20,0,4,0,4,0
order-service,com.selimhorri.app.exception.payload,ExceptionMsg.ExceptionMsgBuilder,48,0,0,0,1,0,7,0,7,0
order-service,com.selimhorri.app.exception.payload,ExceptionMsg,205,0,36,0,8,0,29,0,11,0
order-service,com.selimhorri.app.dto.response.collection,DtoCollectionResponse.DtoCollectionResponseBuilder,19,0,0,0,1,0,4,0,4,0
order-service,com.selimhorri.app.dto.response.collection,DtoCollectionResponse,86,0,14,0,5,0,16,0,9,0
order-service,com.selimhorri.app.resource,OrderResource,75,0,0,0,15,0,8,0,8,0
order-service,com.selimhorri.app.resource,CartResource,75,0,0,0,15,0,8,0,8,0
order-service,com.selimhorri.app.helper,OrderMappingHelper,0,44,0,0,0,20,0,2,0,2
order-service,com.selimhorri.app.helper,CartMappingHelper,24,0,0,0,12,0,2,0,2,0
