GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payment-service,com.selimhorri.app.config.client,ClientConfig,7,0,0,0,2,0,2,0,2,0
payment-service,com.selimhorri.app.dto,OrderDto.OrderDtoBuilder,11,35,0,0,0,1,1,6,1,6
payment-service,com.selimhorri.app.dto,PaymentDto.PaymentDtoBuilder,12,35,0,0,0,1,1,6,1,6
payment-service,com.selimhorri.app.dto,PaymentDto,127,89,34,4,1,7,26,8,7,8
payment-service,com.selimhorri.app.dto,OrderDto,130,85,34,4,1,7,27,7,8,7
payment-service,com.selimhorri.app.config.mapper,MapperConfig,9,0,0,0,3,0,2,0,2,0
payment-service,com.selimhorri.app,PaymentServiceApplication,8,0,0,0,3,0,2,0,2,0
payment-service,com.selimhorri.app,PaymentController,5,0,0,0,2,0,2,0,2,0
payment-service,com.selimhorri.app.constant,AppConstant.DiscoveredDomainsApi,6,0,0,0,1,0,1,0,1,0
payment-service,com.selimhorri.app.exception.wrapper,PaymentNotFoundException,12,4,0,0,6,2,3,1,3,1
payment-service,com.selimhorri.app.domain,PaymentStatus,3,32,0,0,1,4,1,2,1,2
payment-service,com.selimhorri.app.domain,AbstractMappedEntity,123,3,22,0,4,1,20,1,9,1
payment-service,com.selimhorri.app.domain,Payment,191,31,40,0,3,6,29,6,9,6
payment-service,com.selimhorri.app.domain,Payment.PaymentBuilder,11,35,0,0,0,1,1,6,1,6
payment-service,com.selimhorri.app.service.impl,PaymentServiceImpl,0,119,0,0,0,29,0,10,0,10
payment-service,com.selimhorri.app.exception,ApiExceptionHandler,51,0,0,0,20,0,4,0,4,0
payment-service,com.selimhorri.app.exception.payload,ExceptionMsg.ExceptionMsgBuilder,48,0,0,0,1,0,7,0,7,0
payment-service,com.selimhorri.app.exception.payload,ExceptionMsg,205,0,36,0,8,0,29,0,11,0
payment-service,com.selimhorri.app.dto.response.collection,DtoCollectionResponse.DtoCollectionResponseBuilder,19,0,0,0,1,0,4,0,4,0
payment-service,com.selimhorri.app.dto.response.collection,DtoCollectionResponse,86,0,14,0,5,0,16,0,9,0
payment-service,com.selimhorri.app.resource,PaymentResource,63,0,0,0,13,0,7,0,7,0
payment-service,com.selimhorri.app.helper,PaymentMappingHelper,0,34,0,0,0,15,0,2,0,2
