GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
product-service,com.selimhorri.app.config.client,ClientConfig,7,0,0,0,2,0,2,0,2,0
product-service,com.selimhorri.app.config.mapper,MapperConfig,9,0,0,0,3,0,2,0,2,0
product-service,com.selimhorri.app.dto,ProductDto.ProductDtoBuilder,17,56,0,0,0,1,1,9,1,9
product-service,com.selimhorri.app.dto,CategoryDto.CategoryDtoBuilder,32,34,0,0,0,1,4,5,4,5
product-service,com.selimhorri.app.dto,ProductDto,205,139,55,7,1,10,42,10,11,10
product-service,com.selimhorri.app.dto,CategoryDto,182,121,48,6,1,9,37,9,10,9
product-service,com.selimhorri.app,ProductServiceApplication,8,0,0,0,3,0,2,0,2,0
product-service,com.selimhorri.app.constant,AppConstant.DiscoveredDomainsApi,6,0,0,0,1,0,1,0,1,0
product-service,com.selimhorri.app.exception.wrapper,ProductNotFoundException,12,4,0,0,6,2,3,1,3,1
product-service,com.selimhorri.app.exception.wrapper,CategoryNotFoundException,16,0,0,0,8,0,4,0,4,0
product-service,com.selimhorri.app.service.impl,CategoryServiceImpl,93,0,0,0,24,0,9,0,9,0
product-service,com.selimhorri.app.service.impl,ProductServiceImpl,13,83,0,0,3,22,1,8,1,8
product-service,com.selimhorri.app.domain,Category.CategoryBuilder,32,34,0,0,0,1,4,5,4,5
product-service,com.selimhorri.app.domain,AbstractMappedEntity,123,3,22,0,4,1,20,1,9,1
product-service,com.selimhorri.app.domain,Category,183,34,32,0,6,5,30,5,14,5
product-service,com.selimhorri.app.domain,Product.ProductBuilder,17,56,0,0,0,1,1,9,1,9
product-service,com.selimhorri.app.domain,Product,271,49,56,0,3,9,40,9,12,9
product-service,com.selimhorri.app.exception,ApiExceptionHandler,51,0,0,0,20,0,4,0,4,0
product-service,com.selimhorri.app.exception.payload,ExceptionMsg.ExceptionMsgBuilder,48,0,0,0,1,0,7,0,7,0
product-service,com.selimhorri.app.exception.payload,ExceptionMsg,205,0,36,0,8,0,29,0,11,0
product-service,com.selimhorri.app.helper,ProductMappingHelper,0,72,0,0,0,28,0,2,0,2
product-service,com.selimhorri.app.helper,CategoryMappingHelper,70,0,0,0,26,0,4,0,4,0
product-service,com.selimhorri.app.dto.response.collection,DtoCollectionResponse.DtoCollectionResponseBuilder,19,0,0,0,1,0,4,0,4,0
product-service,com.selimhorri.app.dto.response.collection,DtoCollectionResponse,86,0,14,0,5,0,16,0,9,0
product-service,com.selimhorri.app.resource,ProductResource,75,0,0,0,15,0,8,0,8,0
product-service,com.selimhorri.app.resource,CategoryResource,75,0,0,0,15,0,8,0,8,0
