GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shipping-service,com.selimhorri.app.config.client,ClientConfig,7,0,0,0,2,0,2,0,2,0
shipping-service,com.selimhorri.app.dto,OrderDto.OrderDtoBuilder,19,37,0,0,0,1,2,6,2,6
shipping-service,com.selimhorri.app.dto,ProductDto.ProductDtoBuilder,22,51,0,0,0,1,2,8,2,8
shipping-service,com.selimhorri.app.dto,OrderItemDto,148,111,41,5,1,8,30,10,7,10
shipping-service,com.selimhorri.app.dto,ProductDto,205,139,55,7,1,10,42,10,11,10
shipping-service,com.selimhorri.app.dto,OrderDto,156,103,41,5,1,8,32,8,9,8
shipping-service,com.selimhorri.app.dto,OrderItemDto.OrderItemDtoBuilder,14,42,0,0,0,1,1,7,1,7
shipping-service,com.selimhorri.app.config.mapper,MapperConfig,9,0,0,0,3,0,2,0,2,0
shipping-service,com.selimhorri.app,ShippingController,5,0,0,0,2,0,2,0,2,0
shipping-service,com.selimhorri.app,ShippingServiceApplication,8,0,0,0,3,0,2,0,2,0
shipping-service,com.selimhorri.app.constant,AppConstant.DiscoveredDomainsApi,6,0,0,0,1,0,1,0,1,0
shipping-service,com.selimhorri.app.exception.wrapper,OrderItemNotFoundException,16,0,0,0,8,0,4,0,4,0
shipping-service,com.selimhorri.app.domain,OrderItem.OrderItemBuilder,8,28,0,0,0,1,1,5,1,5
shipping-service,com.selimhorri.app.domain,AbstractMappedEntity,123,3,22,0,4,1,20,1,9,1
shipping-service,com.selimhorri.app.domain,OrderItem,153,25,32,0,3,5,24,5,8,5
shipping-service,com.selimhorri.app.exception,ApiExceptionHandler,51,0,0,0,20,0,4,0,4,0
shipping-service,com.selimhorri.app.service.impl,OrderItemServiceImpl,57,88,0,0,10,23,3,7,3,7
shipping-service,com.selimhorri.app.domain.id,OrderItemId,115,9,22,0,4,1,20,1,9,1
shipping-service,com.selimhorri.app.exception.payload,ExceptionMsg.ExceptionMsgBuilder,48,0,0,0,1,0,7,0,7,0
shipping-service,com.selimhorri.app.exception.payload,ExceptionMsg,205,0,36,0,8,0,29,0,11,0
shipping-service,com.selimhorri.app.dto.response.collection,DtoCollectionResponse.DtoCollectionResponseBuilder,19,0,0,0,1,0,4,0,4,0
shipping-service,com.selimhorri.app.dto.response.collection,DtoCollectionResponse,86,0,14,0,5,0,16,0,9,0
shipping-service,com.selimhorri.app.helper,OrderItemMappingHelper,0,36,0,0,0,18,0,2,0,2
shipping-service,com.selimhorri.app.resource,OrderItemResource,95,0,0,0,19,0,9,0,9,0
