GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-service,com.selimhorri.app.config.client,ClientConfig,7,0,0,0,2,0,2,0,2,0
user-service,com.selimhorri.app.config.mapper,MapperConfig,9,0,0,0,3,0,2,0,2,0
user-service,com.selimhorri.app.dto,UserDto,231,157,62,8,1,11,47,11,12,11
user-service,com.selimhorri.app.dto,CredentialDto,282,193,76,10,1,13,57,13,14,13
user-service,com.selimhorri.app.dto,CredentialDto.CredentialDtoBuilder,35,67,0,0,0,1,3,10,3,10
user-service,com.selimhorri.app.dto,VerificationTokenDto,216,0,38,0,8,0,34,0,15,0
user-service,com.selimhorri.app.dto,AddressDto.AddressDtoBuilder,55,0,0,0,1,0,8,0,8,0
user-service,com.selimhorri.app.dto,VerificationTokenDto.VerificationTokenDtoBuilder,47,0,0,0,1,0,7,0,7,0
user-service,com.selimhorri.app.dto,UserDto.UserDtoBuilder,25,58,0,0,0,1,2,9,2,9
user-service,com.selimhorri.app.dto,AddressDto,258,0,46,0,9,0,40,0,17,0
user-service,com.selimhorri.app,UserServiceApplication,8,0,0,0,3,0,2,0,2,0
user-service,com.selimhorri.app.exception.wrapper,CredentialNotFoundException,16,0,0,0,8,0,4,0,4,0
user-service,com.selimhorri.app.exception.wrapper,AddressNotFoundException,16,0,0,0,8,0,4,0,4,0
user-service,com.selimhorri.app.exception.wrapper,UserObjectNotFoundException,12,4,0,0,6,2,3,1,3,1
user-service,com.selimhorri.app.exception.wrapper,VerificationTokenNotFoundException,16,0,0,0,8,0,4,0,4,0
user-service,com.selimhorri.app.constant,AppConstant.DiscoveredDomainsApi,6,0,0,0,1,0,1,0,1,0
user-service,com.selimhorri.app.service.impl,UserServiceImpl,44,74,0,0,8,17,4,7,4,7
user-service,com.selimhorri.app.service.impl,AddressServiceImpl,93,0,0,0,22,0,9,0,9,0
user-service,com.selimhorri.app.service.impl,CredentialServiceImpl,115,0,0,0,24,0,11,0,11,0
user-service,com.selimhorri.app.service.impl,VerificationTokenServiceImpl,93,0,0,0,25,0,9,0,9,0
user-service,com.selimhorri.app.domain,Credential,359,61,72,0,5,10,53,10,17,10
user-service,com.selimhorri.app.domain,AbstractMappedEntity,123,3,22,0,4,1,20,1,9,1
user-service,com.selimhorri.app.domain,User,281,52,56,0,4,9,42,9,14,9
user-service,com.selimhorri.app.domain,Address,234,0,40,0,10,0,37,0,17,0
user-service,com.selimhorri.app.domain,VerificationToken.VerificationTokenBuilder,47,0,0,0,1,0,7,0,7,0
user-service,com.selimhorri.app.domain,Address.AddressBuilder,55,0,0,0,1,0,8,0,8,0
user-service,com.selimhorri.app.domain,Credential.CredentialBuilder,35,67,0,0,0,1,3,10,3,10
user-service,com.selimhorri.app.domain,User.UserBuilder,25,58,0,0,0,1,2,9,2,9
user-service,com.selimhorri.app.domain,VerificationToken,192,0,32,0,9,0,31,0,15,0
user-service,com.selimhorri.app.domain,RoleBasedAuthority,3,25,0,0,1,3,1,2,1,2
user-service,com.selimhorri.app.exception,ApiExceptionHandler,51,0,0,0,20,0,4,0,4,0
user-service,com.selimhorri.app.exception.payload,ExceptionMsg.ExceptionMsgBuilder,48,0,0,0,1,0,7,0,7,0
user-service,com.selimhorri.app.exception.payload,ExceptionMsg,205,0,36,0,8,0,29,0,11,0
user-service,com.selimhorri.app.dto.response.collection,DtoCollectionResponse.DtoCollectionResponseBuilder,19,0,0,0,1,0,4,0,4,0
user-service,com.selimhorri.app.dto.response.collection,DtoCollectionResponse,86,0,14,0,5,0,16,0,9,0
user-service,com.selimhorri.app.helper,AddressMappingHelper,84,0,0,0,30,0,2,0,2,0
user-service,com.selimhorri.app.helper,CredentialMappingHelper,108,0,0,0,38,0,2,0,2,0
user-service,com.selimhorri.app.helper,UserMappingHelper,0,112,0,0,0,38,0,2,0,2
user-service,com.selimhorri.app.helper,VerificationTokenMappingHelper,94,0,0,0,32,0,2,0,2,0
user-service,com.selimhorri.app.resource,AddressResource,77,0,0,0,15,0,8,0,8,0
user-service,com.selimhorri.app.resource,VerificationTokenResource,77,0,0,0,15,0,8,0,8,0
user-service,com.selimhorri.app.resource,UserResource,83,0,0,0,16,0,9,0,9,0
user-service,com.selimhorri.app.resource,CredentialResource,86,0,0,0,17,0,9,0,9,0
